Jason Kubel,LF,31.5,,,CLE,MIN,1,"$2,000,000","$2,000,000"
Colby Lewis,SP,34.2,R,R,TEX,TEX,1,"$2,000,000","$2,000,000"
Jamey Wright,RP,38.9,R,R,TB,LAD,1,"$1,800,000","$1,800,000"
J.P. Arencibia,1B,27.9,R,R,TOR,TEX,1,"$1,800,000","$1,800,000"
Felipe Paulino,SP,30.2,R,R,KC,CHW,1,"$1,750,000","$1,750,000"
Joe Saunders,SP,32.6,L,L,SEA,TEX,1,"$1,500,000","$1,500,000"
Mike Gonzalez,RP,35.8,,,MIL,WSH,1,"$1,500,000","$1,500,000"
Paul Maholm,RP,31.6,L,L,ATL,LAD,1,"$1,500,000","$1,500,000"
Daisuke Matsuzaka,SP,33.3,R,R,NYM,NYM,1,"$1,500,000","$1,500,000"
Lyle Overbay,1B,36.9,L,L,NYY,MIL,1,"$1,500,000","$1,500,000"
John Lannan,RP,29.2,L,L,PHI,NYM,1,"$1,500,000","$1,500,000"
Juan Carlos Oviedo,RP,31.7,R,R,TB,TB,1,"$1,500,000","$1,500,000"
Wesley Wright,RP,28.8,R,L,TB,CHC,1,"$1,425,000","$1,425,000"
Kevin Gregg,RP,35.9,R,R,CHC,MIA,1,"$1,286,387","$1,286,387"
Carlos Marmol,RP,31.2,,,LAD,MIA,1,"$1,250,000","$1,250,000"
Freddy Garcia,SP,37.2,,,ATL,ATL,1,"$1,250,000","$1,250,000"
Chien-Ming Wang,RP,33.7,,,TOR,CIN,1,"$1,250,000","$1,250,000"
Alfredo Aceves,RP,32.1,,,BOS,BAL,1,"$1,200,000","$1,200,000"
Erik Bedard,SP,34.9,,,HOU,TB,1,"$1,150,000","$1,150,000"
Wil Nieves,C,36.2,R,R,ARI,PHI,1,"$1,125,000","$1,125,000"
Ramon Santiago,2B,34.3,B,R,DET,CIN,1,"$1,100,000","$1,100,000"
Randy Wolf,SP,37.7,,,SEA,NYM,1,"$1,000,000","$1,000,000"
Joel Hanrahan,RP,32.5,,,BOS,DET,1,"$1,000,000","$1,000,000"
Tyler Colvin,RP,28.4,L,L,COL,SF,1,"$1,000,000","$1,000,000"
Aaron Harang,SP,35.8,R,R,NYM,CLE,1,"$1,000,000","$1,000,000"
Jose Valverde,RP,35.8,,,DET,NYM,1,"$1,000,000","$1,000,000"
Luis Ayala,RP,36.0,,,ATL,WSH,1,"$1,000,000","$1,000,000"
Pat Neshek,RP,33.4,S,R,OAK,STL,1,"$1,000,000","$1,000,000"
Justin Turner,3B,29.2,R,R,NYM,LAD,1,"$1,000,000","$1,000,000"
Reed Johnson,LF,37.1,R,R,ATL,MIA,1,"$1,000,000","$1,000,000"
Matt Guerrier,RP,35.4,,,CHC,MIN,1,"$1,000,000","$1,000,000"
Scott Baker,SP,32.3,R,R,CHC,SEA,1,"$1,000,000","$1,000,000"
Carlos Pena,1B,35.7,,,KC,LAA,1,"$1,000,000","$1,000,000"
Jose Mijares,RP,29.2,,,SF,BOS,1,"$1,000,000","$1,000,000"
Delmon Young,LF,28.2,R,R,TB,BAL,1,"$1,000,000","$1,000,000"
Franklin Gutierrez,CF,30.8,R,R,SEA,SEA,1,"$1,000,000","$1,000,000"
Shaun Marcum,SP,32.0,R,R,NYM,CLE,1,"$1,000,000","$1,000,000"
Yorbit Torrealba,C,35.5,,,COL,LAA,1,"$950,000","$950,000"
Elliot Johnson,2B,29.8,,,ATL,CLE,1,"$930,000","$930,000"
Jeff Francoeur,LF,30.2,R,R,CLE,SD,1,"$925,000","$925,000"
Kevin Frandsen,3B,31.8,R,R,PHI,WSH,1,"$900,000","$900,000"
Chone Figgins,3B,36.0,,,MIA,LAD,1,"$900,000","$900,000"
John Baker,C,33.0,L,R,LAD,CHC,1,"$875,000","$875,000"
John McDonald,SS,39.2,,,BOS,LAA,1,"$850,000","$850,000"
Zach Duke,RP,30.7,L,L,CIN,MIL,1,"$850,000","$850,000"
