Dan Wheeler,RP,34.1,,,BOS,CLE,1,"$900,000","$900,000",,,,,,,,,,,
Fred Lewis,LF,31.1,,,CIN,CLE,1,"$900,000","$900,000",,,,,,,,,,,
Scott Linebrink,RP,35.5,,,ATL,STL,1,"$850,000","$850,000",,,,,,,,,,,
Juan Pierre,LF,34.4,,,CHW,PHI,1,"$800,000","$800,000",,,,,,,,,,,
Willie Harris,LF,33.6,,,NYM,CIN,1,"$800,000","$800,000",,,,,,,,,,,
Dioner Navarro,C,27.9,S,R,LAD,CIN,1,"$800,000","$800,000",,,,,,,,,,,
Mark Derosa,3B,36.8,,,SF,WSH,1,"$800,000","$800,000",,,,,,,,,,,
Jose Lopez,3B,28.0,,,MIA,CLE,1,"$800,000","$800,000",,,,,,,,,,,
Dave Bush,SP,32.1,,,TEX,PHI,1,"$800,000","$800,000",,,,,,,,,,,
Adam Kennedy,2B,35.8,,,SEA,LAD,1,"$800,000","$800,000",,,,,,,,,,,
Brian Schneider,C,34.9,,,PHI,PHI,1,"$800,000","$800,000",,,,,,,,,,,
Chris Snyder,C,30.9,,,PIT,HOU,1,"$750,000","$750,000",,,,,,,,,,,
Miguel Batista,SP,40.8,,,NYM,NYM,1,"$750,000","$750,000",,,,,,,,,,,
Jared Burton,RP,29.6,R,R,CIN,MIN,1,"$750,000","$750,000",,,,,,,,,,,
Xavier Nady,1B,33.3,,,ARI,WSH,1,"$700,000","$700,000",,,,,,,,,,,
Jason Isringhausen,RP,39.5,,,NYM,LAA,1,"$650,000","$650,000",,,,,,,,,,,
Bill Hall,3B,32.1,,,SF,NYY,1,"$600,000","$600,000",,,,,,,,,,,
Brad Penny,SP,34.1,R,R,DET,SF,1,"$500,000","$500,000",,,,,,,,,,,
David Aardsma,RP,30.1,,,SEA,NYY,1,"$500,000","$500,000",,,,,,,,,,,
Andrew Brackman,RP,26.0,,,NYY,CIN,1,"$500,000","$500,000",,,,,,,,,,,
Brandon Inge,3B,34.9,,,DET,OAK,1,"$414,066","$414,066",,,,,,,,,,,
Bobby Abreu,LF,38.1,,,LAA,LAD,1,"$401,311","$401,311",,,,,,,,,,,
Jon Garland,SP,32.3,,,LAD,CLE,1,-,-,,,,,,,,,,,
Russell Branyan,1B,36.1,,,LAA,NYY,1,-,-,,,,,,,,,,,
Joe Beimel,RP,34.8,L,L,PIT,TEX,1,-,-,,,,,,,,,,,
Alex Cora,2B,38.2,,,WSH,STL,1,-,-,,,,,,,,,,,
Corey Patterson,RF,32.4,,,STL,MIL,1,-,-,,,,,,,,,,,
Trever Miller,RP,38.7,,,TOR,BAL,1,-,-,,,,,,,,,,,
